,0,1
pcm_loudness_sma_maxPos,-0.003054703552792344,-0.0001882010915641161
pcm_loudness_sma_minPos,-0.0051480296018131914,0.010460745548483169
pcm_loudness_sma_amean,-0.02524670039294356,-0.005227362853092683
pcm_loudness_sma_linregc1,-0.004337544834926918,-0.008663999595420623
pcm_loudness_sma_linregc2,-0.014867792583364212,0.0057516159325652
pcm_loudness_sma_linregerrA,-0.030104074903536584,-0.014886734538476812
pcm_loudness_sma_linregerrQ,-0.01762573353677115,-0.013949116603521692
pcm_loudness_sma_stddev,-0.027609551536430094,-0.01836064985742583
pcm_loudness_sma_skewness,-0.0028330221203325193,0.0017715199612900535
pcm_loudness_sma_kurtosis,0.00341312401409825,0.005011314972950609
pcm_loudness_sma_quartile1,0.0036181179635547,0.01793250146292263
pcm_loudness_sma_quartile2,-0.020034100783088777,0.008430803801371982
pcm_loudness_sma_quartile3,-0.030662665708880904,-0.011226452745148321
pcm_loudness_sma_iqr1-2,-0.029738390144411278,-0.0013064991526147902
pcm_loudness_sma_iqr2-3,-0.028183825409855225,-0.023020310689656383
pcm_loudness_sma_iqr1-3,-0.03563874364817682,-0.018564733718954465
pcm_loudness_sma_percentile1.0,0.011171810814565253,0.05604774745809182
pcm_loudness_sma_percentile99.0,-0.024324118008175393,-0.015365182180323443
pcm_loudness_sma_pctlrange0-1,-0.024848393953357608,-0.017923035263788044
pcm_loudness_sma_upleveltime75,-0.015189158234027764,-0.0009060348248586914
pcm_loudness_sma_upleveltime90,-0.009396279793212706,-0.006544539404319667
pcm_fftMag_mfcc_sma[0]_maxPos,0.02632862464982474,0.005366659127101721
pcm_fftMag_mfcc_sma[0]_minPos,-0.003320106066002193,0.0026937493044827602
pcm_fftMag_mfcc_sma[0]_amean,-0.022620855466963675,0.0046667155573406754
pcm_fftMag_mfcc_sma[0]_linregc1,-0.00019577638595936632,-0.01372054149243803
pcm_fftMag_mfcc_sma[0]_linregc2,-0.019737941940225663,0.02805755939052848
pcm_fftMag_mfcc_sma[0]_linregerrA,-0.04899229251183243,-0.04200125270575667
