,0,1,2,3
age,-0.11299564486379035,-0.04139933267094896,-0.34378786280516,0.9313044533792783
gender,-0.0809020542246045,0.9956089914385,-0.043327513078853186,0.018447774918775695
education,-0.2891177354938753,-0.05521306759655886,-0.8837609670911062,-0.3637705392629591
student,0.9471524570453,0.06324830897178857,-0.3144824081637235,0.001639963659774979
