,0,1,2,3,4
age,-0.11229596549290696,-0.07332839526820205,-0.013391759547688209,-0.45649014211811134,0.8794600465664199
gender,0.7088427836989335,-0.7044594502367914,-0.022353600240322475,-0.01206887908513965,0.025168426330406224
education,-0.24765333154898284,-0.26136304541658184,0.2943556227013436,-0.7647797870049385,-0.4458966591442953
student,0.650614148633399,0.6556764918794616,0.10879604928268805,-0.36400414773003076,-0.04953753819571924
gad_f,0.017337274949929316,-0.01172714401210289,0.9491254734633852,0.2721836698456194,0.1569674440223353
