,0,1,2,3,4,5,6,7,8,9
pcm_loudness_sma_maxPos,-0.0033354426187929796,-0.001799288636328403,-0.0183000489076395,0.04009708168702231,0.01877579070027425,0.030671251311778946,-0.04289941192033927,-0.00157884718154098,0.02601093282345901,-0.028692628005634845
pcm_loudness_sma_minPos,-0.005160421875448152,0.010789142801011013,0.005035175997373617,0.004135905952636638,0.018682360779691813,-0.02864687710477689,0.012010747236290706,0.015311744820312122,-0.0031920108747817964,0.01840834510256119
pcm_loudness_sma_amean,-0.02545339381849816,-0.006996453058242414,-0.01817191388006347,0.017340903826253078,-0.031998456433866285,-0.02677961518749998,-0.05864631153557834,-0.08539984224420069,0.03538010231900981,-0.023882532914809185
pcm_loudness_sma_linregc1,-0.004188539836528278,-0.008687286127666678,0.018356119617249464,0.04754786701783516,-0.013561462488522445,0.023956950595028934,-0.008072907556489779,-0.0027618799559855603,-0.010211075765000428,0.0040736435884459335
pcm_loudness_sma_linregc2,-0.015128666039382224,0.004737433762633884,-0.020771320100296226,-0.017927131894867474,-0.020501381842066794,-0.041486629071323985,-0.008395465447720497,-0.06603173043081534,-0.0010221759138321544,-0.015210452868824971
pcm_loudness_sma_linregerrA,-0.030264484159711523,-0.016596492502989144,-0.0045570035387622315,-0.0022188335033722947,-0.0017313268809579163,-0.038311269533896096,-0.04402740835842175,-0.06340909910241879,0.012958370643585862,-0.0022831086880333515
pcm_loudness_sma_linregerrQ,-0.017869530817780862,-0.015767787380776475,-0.0024769574548668947,-0.003283716032692065,-0.00022289261985420259,-0.028897942465127533,-0.04641274462953714,-0.055257761610518034,0.016348032548517407,0.0012555551768661487
pcm_loudness_sma_stddev,-0.027805251792716867,-0.020424383728125262,-0.003532752836789135,0.012931813866392182,0.0024808918354918648,-0.025370294395914105,-0.044334381334908565,-0.05902041019619672,0.019400847644958984,-0.004284874093279318
pcm_loudness_sma_skewness,-0.0032306144987844874,0.0001984930472535749,-0.014556554623979322,0.004549784242933411,0.047610979949273,0.018722391209988438,0.019176302167893924,-0.004163331949190706,0.0011884981667207746,-0.01002175382971188
pcm_loudness_sma_kurtosis,0.0031330219124143096,0.00408511795519226,-0.01489186538288303,0.005197621939258217,0.03455158559832556,0.022909130125693154,0.008441014461495158,0.008297895931505274,0.006134262004763975,-0.008361981919754369
pcm_loudness_sma_quartile1,0.0030510619166068615,0.01585384621267999,-0.0532086764051804,0.02270626204136567,-0.051536675220683156,-0.010994399191055724,-0.03317813004901232,-0.08818283489195382,0.044993608815912585,-0.05802876140804592
pcm_loudness_sma_quartile2,-0.020145653822777974,0.007605127121107622,-0.018166738162921862,0.010031756452686849,-0.06324960242271027,-0.018439678346760736,-0.06366798652909889,-0.07924504265286365,0.048731630107175884,-0.025896848581582074
pcm_loudness_sma_quartile3,-0.030593312099420653,-0.01214521483071253,-0.009318220800719723,0.01487893433506714,-0.028224458584323667,-0.030307916378605523,-0.06282951715890951,-0.0802453285938914,0.029920833682615517,-0.015208634787932261
pcm_loudness_sma_iqr1-2,-0.029485764143436788,-0.0009467626494018772,0.01304950845806524,-0.0024236330500842815,-0.04934374698949379,-0.01718649067862785,-0.06294413558411982,-0.04505628518284255,0.034321715623972,0.0059397324921162
pcm_loudness_sma_iqr2-3,-0.027998145564306087,-0.023701232540217637,0.0011625255695923973,0.013567871710110825,0.010052119070430663,-0.02898578271569446,-0.039004666668646944,-0.051808088592284314,0.0037733790039392143,-0.001434264233161616
pcm_loudness_sma_iqr1-3,-0.03537771997054139,-0.01893107363909303,0.006942409717481246,0.009485432064247429,-0.01504809905395984,-0.030452029387661818,-0.059443815739550376,-0.06109772234782141,0.01878173412737941,0.001564978228198343
pcm_loudness_sma_percentile1.0,0.01014613421970753,0.054004739363516435,-0.022248514669183206,0.015162749951031082,-0.017733172993115717,0.0006093048279774825,0.0027420258006125874,-0.052124054900901357,-0.004410781509311102,-0.04415276214245399
pcm_loudness_sma_percentile99.0,-0.024704808206021188,-0.018019380383126695,-0.011719605915382719,0.011637596208893554,0.004913620015758964,-0.02364685766242406,-0.042428775525030826,-0.06381836072137043,0.02413095044632598,-0.014603033032765451
pcm_loudness_sma_pctlrange0-1,-0.025183457842429934,-0.02048919147567582,-0.010679745212421859,0.010973624385876984,0.005739400847920052,-0.02370714923376448,-0.04261638329013576,-0.06145283902665402,0.02440806885361341,-0.012595603961635641
pcm_loudness_sma_upleveltime75,-0.014842109719531817,-6.707625983438826e-05,0.009668544864600686,0.0476670373214871,-0.042343559471503624,-0.021324415004549915,0.003935865753775189,0.0061337595374001755,-0.011007795146692497,0.0427490465512854
pcm_loudness_sma_upleveltime90,-0.009168292002950709,-0.006194831559239072,0.011288337039858288,0.04499174292221769,-0.04246610240473182,0.00658893527005873,0.0006503083309298671,0.00732081312072015,-0.019589043256790336,0.03266407739294617
pcm_fftMag_mfcc_sma[0]_maxPos,0.026797012769682212,0.007615492383900008,0.03261241168368201,0.03485458892068827,0.008165448539887954,0.01529975275723449,-0.03338535106737362,0.01887462908161757,0.04942285720925556,-0.02474599809440948
pcm_fftMag_mfcc_sma[0]_minPos,-0.0033161901608156517,0.0028965203678543217,0.00731143296353631,-0.009391152485890918,-0.00515191418975957,0.010531966833827297,-0.009220297673095025,0.006357558686370112,0.010469970874211894,0.0051661765673946545
pcm_fftMag_mfcc_sma[0]_amean,-0.022910090570410713,0.00300287258859776,-0.036728879590759836,0.0205319172911725,-0.01052489630385069,-0.0038764565732129124,-0.030304059080965236,-0.042420646208488524,-0.0008669438165444628,-0.03844735663591616
