,0,1,2,3,4,5,6,7,8,9
pcm_loudness_sma_maxPos,0.0031336851783706553,0.003067931579857179,0.03133685567357132,0.010342438345265947,-0.06529035363564364,-0.0021427825396034108,-0.026226347582402987,0.07094878447733587,0.008471781516676439,0.03850861587109371
pcm_loudness_sma_minPos,0.006971571215045625,-0.006279120346462196,-0.014889382395762539,0.004809055578285869,0.020213486728020955,0.018302378401890546,0.018334343819785583,-0.0017573865624777455,-0.02037302260506632,0.025096532699442387
pcm_loudness_sma_amean,0.020152237943566517,0.006076074620305687,0.03756236715378504,-0.051370849621700666,-0.028832365327316138,0.02197914658378923,-0.004773355790581069,0.031234447176884696,0.042296556007072,-0.008425685818129422
pcm_loudness_sma_linregc1,-0.010390744029696553,0.006076716464185108,0.009259926416526591,-0.0074139937920849235,-0.05102828666330517,0.01653625341453444,-0.03606634218492079,0.023500438908906098,0.03559591663451929,0.03477546241018142
pcm_loudness_sma_linregc2,0.0228030038578058,0.0019307172874911355,0.025484339868164622,-0.03647838472236813,0.00022617810804524194,0.008629971790769951,0.01101859469767082,0.009901177667176233,0.021425870710615982,-0.021252813412223365
pcm_loudness_sma_linregerrA,0.02682465439059611,0.005941190058485953,0.021794848754199264,-0.014051622480997068,-0.029075215875452937,0.01372642482486615,0.01254981870181182,0.02322451281831823,0.023790665823269965,-0.0063455648423344935
pcm_loudness_sma_linregerrQ,0.020215969438940957,0.002511490651335841,0.01814655970304724,-0.005348694772175391,-0.016885929169046777,0.011921001275264987,0.007868193558334126,0.015802837959886056,0.02455616707008624,-0.0008004973382892859
pcm_loudness_sma_stddev,0.02516224230033231,0.007557178762556307,0.023718771892036666,-0.012522647984190765,-0.024346994085651733,0.016802464297552642,0.016138293189326667,0.016958499432911226,0.03124456589267576,-0.007779870010397712
pcm_loudness_sma_skewness,-0.020776598395351818,-0.004086179667003505,-0.002628805739941477,0.031503084886320434,0.03652439715079846,-0.0025403501068661056,0.019920203522375474,-0.05952773357349432,0.01131287351609433,-0.014796027338664754
pcm_loudness_sma_kurtosis,-0.01943235776184792,-0.003486547655425656,0.0018112974018560945,0.023346429646237458,0.033901073812542905,-0.00026264660616165793,0.019248770497951657,-0.05320146451009057,0.011033587369936136,-0.02039829214025852
pcm_loudness_sma_quartile1,-0.0143018367796645,0.004213470958459342,0.050547790373128794,-0.09161366247893012,-0.008000498128126891,0.016488703598204372,-0.044280423721286065,0.021405233298276108,0.052093237056888085,-0.0036993738078833984
pcm_loudness_sma_quartile2,0.013135710323566278,0.00522865725448293,0.03614638345310601,-0.0694058835668362,-0.018306193461767963,0.030174153874413502,-0.011976902936811527,0.024114534626801423,0.047754051716667044,-0.01520972538954379
pcm_loudness_sma_quartile3,0.023397109841651147,0.0040728499905040615,0.028147244397334917,-0.035009726478309765,-0.030377262626170968,0.015317110119722917,0.0011902320445526095,0.03427894591299272,0.025033789836220458,-0.007394660841877047
pcm_loudness_sma_iqr1-2,0.032227976573305984,0.004952225116322692,0.016666776756308795,-0.03644515367195991,-0.022699921785637144,0.03454529663138033,0.016343661058964253,0.02096746971288853,0.03377863732389194,-0.0212689220192347
pcm_loudness_sma_iqr2-3,0.02593695535878041,0.0026758429493682276,0.018254141531574435,-0.007423548806467523,-0.03285376902698847,0.0032172567441514097,0.009303201672993299,0.034765266882404396,0.006559856093196981,-0.0010969939233910631
pcm_loudness_sma_iqr1-3,0.027909335038469988,0.003372276512354589,0.017879794746739744,-0.015805078506170304,-0.030091414645627874,0.012203928911759258,0.011456718739255353,0.031030098461153368,0.014383652546697245,-0.00691543278992954
pcm_loudness_sma_percentile1.0,-0.023234921009481335,-0.05174562261742604,0.009994325686415095,-0.06671072551603706,-0.0015017685736074637,0.013577695180265158,0.008076048483036308,0.020913108966939847,0.05016616541200747,0.020672057963467497
pcm_loudness_sma_percentile99.0,0.022671800498075812,0.009662307685673676,0.03253940421947218,-0.025308695627573805,-0.01981861886055703,0.02095829005046967,0.020219699468371814,0.0006677295457241574,0.05168933506176884,-0.01018414225381364
pcm_loudness_sma_pctlrange0-1,0.023967068173411737,0.012491070927247886,0.03207189583156122,-0.02180787988272483,-0.01973564167889178,0.020182801169458538,0.01989358578902619,-0.0005235554165077925,0.04916932727766506,-0.011253673874762653
pcm_loudness_sma_upleveltime75,-0.0010466933276997322,-0.009712449518000465,0.01772398619735191,-0.015466325092162586,-0.009018993335061344,0.017800033395338623,0.01057757403289043,0.0400410362017503,-0.026346610900626552,-0.029407146723157005
pcm_loudness_sma_upleveltime90,-0.006898395489809312,-0.008046419355373492,0.020216598227574385,-0.015056663627239694,0.0015315690521314656,0.026314596117903818,0.030425176819373664,0.03309590060203413,-0.03115468236588093,-0.02720059147425633
pcm_fftMag_mfcc_sma[0]_maxPos,0.003015583915013082,0.006201309367284057,0.00045036087998219775,-0.0010803960932084463,-0.017614751529724824,0.07153714165765668,-0.04451176294632185,0.05300707992550327,-0.0430989622879593,0.05063859416236141
pcm_fftMag_mfcc_sma[0]_minPos,0.004747300471007637,5.267589576194011e-05,-0.01676839961880238,-0.003642867181981952,0.0032183139256893034,0.01335702960126868,0.019648434376827475,0.005447742259830993,-0.01888192825763682,0.00560851077955472
pcm_fftMag_mfcc_sma[0]_amean,0.0037529228278594166,0.007899590864953381,0.05176474316739883,-0.07039692838765525,-0.025529324750148623,0.030896595418337586,-0.02163090612034397,0.00832908737692132,0.00660747983088748,-0.010333206173386312
